!NUMBER OF ENERGY LEVELS
64
!NUMBER OF COLLISIONAL TRANSITIONS
1899
!NUMBER OF COLLISION TEMPERATURES
25
!COLLISION TEMPERATURES
                         2.0        3.0        5.0       7.0       10.0       15.0       20.0       30.0       50.0       70.0      100.0      150.0      200.0      300.0      500.0      700.0     1000.0     1500.0     2000.0     3000.0     5000.0     7000.0    10000.0    15000.0    20000.0
!NUM         UP    LOW    DOWN_COLL_RATES [cm^3 s^-1]
50    11    5     2.7540E-12 2.7304E-12 2.7010E-12 2.7203E-12 2.7410E-12 2.7597E-12 2.7730E-12 2.8500E-12 3.1150E-12 3.4490E-12 3.9750E-12 4.8010E-12 5.5450E-12 6.8860E-12 9.2650E-12 1.1330E-11 1.3910E-11 1.6888E-11 1.9380E-11 2.1810E-11 2.1810E-11 2.1810E-11 2.1810E-11 2.1810E-11 2.1810E-11 
51    11    6     8.9960E-12 8.9690E-12 8.9350E-12 9.0258E-12 9.1230E-12 9.2313E-12 9.3090E-12 9.6320E-12 1.0590E-11 1.1730E-11 1.3540E-11 1.6350E-11 1.8790E-11 2.2720E-11 2.8280E-11 3.2150E-11 3.6180E-11 3.9879E-11 4.2730E-11 4.4370E-11 4.4370E-11 4.4370E-11 4.4370E-11 4.4370E-11 4.4370E-11 
52    11    7     1.4910E-11 1.4950E-11 1.5000E-11 1.5250E-11 1.5520E-11 1.5491E-11 1.5470E-11 1.5200E-11 1.4890E-11 1.4800E-11 1.4880E-11 1.5350E-11 1.6140E-11 1.8310E-11 2.3280E-11 2.7780E-11 3.3180E-11 3.8823E-11 4.3400E-11 4.7160E-11 4.7160E-11 4.7160E-11 4.7160E-11 4.7160E-11 4.7160E-11 
53    11    8     3.7200E-11 3.7556E-11 3.8010E-11 3.8698E-11 3.9440E-11 3.9796E-11 4.0050E-11 4.0420E-11 4.1380E-11 4.2560E-11 4.4440E-11 4.7290E-11 4.9670E-11 5.3380E-11 5.8490E-11 6.1980E-11 6.5590E-11 6.8612E-11 7.0840E-11 7.0700E-11 7.0700E-11 7.0700E-11 7.0700E-11 7.0700E-11 7.0700E-11 
54    11    9     7.1400E-11 7.3383E-11 7.5960E-11 7.9086E-11 8.2540E-11 8.3461E-11 8.4120E-11 8.1960E-11 7.7560E-11 7.4660E-11 7.2520E-11 7.2280E-11 7.4020E-11 7.9370E-11 9.0070E-11 9.8660E-11 1.0830E-10 1.1778E-10 1.2500E-10 1.2870E-10 1.2870E-10 1.2870E-10 1.2870E-10 1.2870E-10 1.2870E-10 
55    11    10    6.5340E-11 6.8342E-11 7.2320E-11 7.6094E-11 8.0310E-11 8.4124E-11 8.6940E-11 8.9110E-11 8.9540E-11 8.9180E-11 8.8980E-11 8.9430E-11 9.0290E-11 9.2270E-11 9.6010E-11 9.9110E-11 1.0260E-10 1.0481E-10 1.0640E-10 1.0280E-10 1.0280E-10 1.0280E-10 1.0280E-10 1.0280E-10 1.0280E-10 
56    12    1     8.7330E-15 8.8523E-15 9.0050E-15 9.3560E-15 9.7430E-15 1.0571E-14 1.1200E-14 1.3280E-14 2.0570E-14 3.3500E-14 6.4750E-14 1.4300E-13 2.3980E-13 4.4290E-13 7.8990E-13 1.0560E-12 1.3650E-12 1.7197E-12 2.0260E-12 2.3240E-12 2.3240E-12 2.3240E-12 2.3240E-12 2.3240E-12 2.3240E-12 
57    12    2     4.3420E-14 4.3623E-14 4.3880E-14 4.5095E-14 4.6420E-14 4.9406E-14 5.1640E-14 5.9270E-14 8.4630E-14 1.2630E-13 2.2060E-13 4.4410E-13 7.1230E-13 1.2620E-12 2.1470E-12 2.7370E-12 3.3080E-12 3.8759E-12 4.3370E-12 4.8250E-12 4.8250E-12 4.8250E-12 4.8250E-12 4.8250E-12 4.8250E-12 
58    12    3     1.8010E-13 1.8028E-13 1.8050E-13 1.8429E-13 1.8840E-13 1.9783E-13 2.0480E-13 2.2930E-13 3.0580E-13 4.2100E-13 6.5940E-13 1.1710E-12 1.7390E-12 2.8410E-12 4.6530E-12 6.0560E-12 7.7030E-12 9.5232E-12 1.1070E-11 1.2480E-11 1.2480E-11 1.2480E-11 1.2480E-11 1.2480E-11 1.2480E-11 
59    12    4     4.8590E-13 4.8315E-13 4.7970E-13 4.8510E-13 4.9090E-13 5.0526E-13 5.1570E-13 5.5550E-13 6.7270E-13 8.3050E-13 1.1240E-12 1.6970E-12 2.2980E-12 3.4220E-12 5.1730E-12 6.4250E-12 7.8100E-12 9.3893E-12 1.0700E-11 1.2070E-11 1.2070E-11 1.2070E-11 1.2070E-11 1.2070E-11 1.2070E-11 
60    12    5     1.7480E-12 1.7387E-12 1.7270E-12 1.7405E-12 1.7550E-12 1.7939E-12 1.8220E-12 1.9400E-12 2.2780E-12 2.7060E-12 3.4480E-12 4.7810E-12 6.0850E-12 8.4060E-12 1.2040E-11 1.4830E-11 1.8000E-11 2.1257E-11 2.3920E-11 2.6010E-11 2.6010E-11 2.6010E-11 2.6010E-11 2.6010E-11 2.6010E-11 
61    12    6     3.1940E-12 3.1771E-12 3.1560E-12 3.1778E-12 3.2010E-12 3.2267E-12 3.2450E-12 3.3210E-12 3.5270E-12 3.7610E-12 4.1390E-12 4.8180E-12 5.5310E-12 6.9740E-12 9.6560E-12 1.1960E-11 1.4800E-11 1.8040E-11 2.0760E-11 2.3340E-11 2.3340E-11 2.3340E-11 2.3340E-11 2.3340E-11 2.3340E-11 
